numFields,partialState.ts,partialTypedState.ts,pickInterfaceState.ts,seperateInterfaces.ts
1,1.60227923926,1.5903369715599998,1.57269045326,1.6260808576600003
2,1.6831201708599999,1.6977694816600004,1.6741158719600002,1.6100326744600004
3,1.9362737558599998,1.88037021996,1.6617315865599998,1.64018230356
4,1.80101458088,1.9038899179800002,1.8066835494800002,1.7558486636800001
5,1.72456481974,1.7600848203400001,1.7269558287400002,1.7312082133399997
6,1.80936817524,1.9252463948399998,1.8320088828399999,1.7116803628400004
8,1.9447098149400006,1.9371667005400002,1.8821948461399998,1.7671225237400001
10,2.06364763698,1.97936581548,1.9288152125800004,1.87785393938
12,2.0520361302000003,2.0699324350000006,1.9624846981000001,1.7306598786000003
14,1.98288087612,2.00534614532,1.8649930302200002,1.77470322012
16,2.04833982044,2.0667487732399996,1.8983785402400002,1.7983295498400005
19,2.19852953036,2.1508532777600005,1.97042911966,1.8982795717600003
22,2.30567704638,2.2729389380800002,2.02983494508,1.9501244713800001
25,2.38037752222,2.37472795042,2.07561647952,1.9658474741200003
26,2.4112002874000007,2.3921833213,2.1216752897,1.9718004795000001
28,2.42740672744,2.44960277744,2.14871991254,2.0072117337399997
30,2.58045591836,2.8624421944600007,2.34615529586,2.24757776716
31,2.89733038498,2.8927661435800003,2.44539584398,2.34906575118
